hVD GTC	一代
hVD fDC	一共
hVD NTC	一再
hVD OMC	一切
hVD AcC	一半
hVD GAA	一同
hVD ipC	一向
hVD cJA	一如
hVD GvC	一定
hVD EOC	一帶
hVD GLC	一度
hVD IVL	一律
hVD Q1A	一心
hVD ayB	一手
hVD CqA	一旁
hVD EcC	一旦
hVD NkB	一早
hVD ZHA	一時
hVD eIC	一氣
hVD IyA	一流
hVD LwD	一直
hVD QfC	一線
hVD JGC	一致
hVD dJB	一舉
hVD AdA	一般
hVD eHB	一起
hVD aVA	一身
hVD IfA	一連
hVD AgA	一邊
hVD LVC	一陣
hVD DfC	一面
hVD GzA	一頭
hVD FMB	一體
hVD PMA	一齊
LpB AKA	丈夫
Q3A dED	三角
ZpB ITA	上來
ZpB eJC	上去
ZpC QHA	上司
ZpB LpA	上場
ZpB jED	上學
ZpC PxA	上層
ZpB VeA	上山
ZpB gcC	上岸
ZpB ZHB	上市
ZpC IyA	上流
ZpC lyA	上游
ZpB AdA	上班
ZpC eAA	上空
ZpC ExB	上等
ZpC d1H	上級
ZpC hIA	上衣
ZpB elK	上課
ZpC aVA	上身
ZpC AgA	上邊
ZpB DaA	上門
ZpB LVC	上陣
ZpC DfC	上面
ZpB DnB	上馬
jnB PxA	下層
jnB ZDD	下屬
jnB AnA	下巴
jnB RVI	下旬
jnB aVA	下身
jnB PTC	下載
jnB AgA	下邊
jnB DfC	下面
AXD d1E	不禁
AXD hiC	不要
AXD OqD	不錯
eyA IwA	丘陵
ZwA QpC	丞相
CvB CQA	並排
CvB jrA	並行
CvB NVC	並進
hnA GzA	丫頭
JBA dgA	中堅
JBA LpA	中場
JBA HgA	中年
JBA lDA	中庸
JBA Q1A	中心/忠心
JBA QuC	中性
JBA IyA	中流
JBA LuA	中程
JBA I1D	中立
JBA ExB	中等
JBC exB	中肯
JBA SpA	中裝
JBA GLA	中途
JBA BDA	中鋒
XKB cVA	主人
XKB IwD	主力
XKB GAB	主動
XKB LpA	主場
XKB CyB	主婦
XKB NTB	主宰
XKB GkC	主導
XKB RuD	主席
XKB LKA	主廚
XKB hHC	主意
XKB LHA	主持
XKB djC	主教
XKB XGB	主旨
XKB ffM	主權
XKB IyA	主流
XKB lfB	主演
XKB dcJ	主管
XKB gFG	主義
XKB hiC	主要
XKB dEB	主講
XKB CeC	主辦
XKB FMB	主體
HTB XGC	乃至
dyB kII	久違
XHA PgA	之前
C9D IwD	乏力
C9D DIC	乏味
eYD dOC	乞丐
loB iJB	也許
cKB GqA	乳糖
cKB JJA	乳豬
cKB IqD	乳酪
ffE eaI	乾坤
dcA DnA	乾媽
dcA jcB	乾旱
dcA jqD	乾涸
dcA PuB	乾淨
dcA QkB	乾燥
dcA EoA	乾爹
dcA VpB	乾爽
dcA ONK	乾脆
dcA ilK	乾貨
IcK IVI	亂倫
IhB dgD	了結
cGC ayB	二手
cGC jLA	二胡
jLC IGC	互利
jLC UJC	互助
jLC GAB	互動
jLC jMK	互惠
jLC jcK	互換
jLC ALB	互補
jLC BpC	互訪
djA AKC	交付
djA GTC	交代
djA kpJ	交往
djA GTB	交待
djA N4D	交接
djA jcK	交換
djA luD	交易
djA FMC	交替
djA IyA	交流
djA dQC	交界
djA lBA	交融
djA G3A	交談
djA FAA	交通
djA BDA	交鋒
djA NNC	交際
dsA fsD	京劇
dsA ZuA	京城
dsA VGA	京師
IpC QpC	亮相
cVA JBA	人中
cVA IwD	人力
cVA ezB	人口
cVA DuQ	人名
cVA kXI	人員
cVA dVI	人均
cVA UHB	人士
cVA dnA	人家
cVA dAA	人工
cVA Q1A	人心
cVA QuC	人性
cVA PuA	人情
cVA PTA	人才
cVA DXA	人文
cVA ffM	人權
cVA OGC	人次
cVA DVA	人民
cVA eIC	人氣
cVA IyA	人流
cVA LiA	人潮
cVA hgA	人煙
cVA DXD	人物
cVA VsA	人生
cVA XDB	人種
cVA lfI	人緣
cVA aVA	人身
cVA deC	人間
cVA NNC	人際
cVA IGK	人類
cVA FMB	人體
Z1D d1F	什錦
cVA hTC	仁愛
fyA cVA	仇人
fyA jbC	仇恨
d1E FgA	今天
d1E HgA	今年
d1E cVD	今日
dQC c1D	介入
dQC hHC	介意
dQC ZiB	介紹
cwA cfA	仍然
cwA fyC	仍舊
FlA cVA	他人
AKC ecJ	付款
QfA EcA	仙丹
QfA dsB	仙境
QfA NHB	仙子
GTC dnC	代價
GTC FMC	代替
GTC IHB	代理
GTC AiF	代表
GTC elK	代課
GTC RoC	代謝
lHB ITA	以來
lHB DfF	以免
lHB PgA	以前
lHB f1H	以及
lHB gOK	以外
lHB kpJ	以往
lHB fHA	以期
lHB kFI	以爲
lHB XGC	以至
lHB JGC	以致
BpB XiC	仿照
BpB XNC	仿製
iyA dnC	休假
iyA QwD	休息
iyA eNG	休憩
iyA jOK	休會
iyA deA	休閒
ArD ArD	伯伯
dLB dnC	估價/股價
dLB QcJ	估算
dLB dMC	估計
IvA cVA	伶人
IvA EvA	伶仃
aVA JfB	伸展
aVA ayB	伸手/身手
RHB jLA	似乎
RHB EvD	似的
LJB I1D	佇立
ALC fDD	佈局
ALC dsB	佈景
ALC JHC	佈置
kGK JHC	位置
EMA dLB	低估
EMA I4A	低廉
EMA L1A	低沉
EMA haI	低溫
EMA LiA	低潮
EMA hnI	低窪
EMA d1H	低級
EMA IqD	低落
EMA DMA	低迷
EMA h1E	低音
EMA GzA	低頭
LKC QBD	住宿
LKC CpA	住房
LKC VJB	住所
NlC NyB	佐酒
E5A dJC	佔據
E5A kyB	佔有
E5A lDC	佔用
E5A IuB	佔領
CXD RpB	佛像
CXD jED	佛學
CXD RHC	佛寺
CXD djC	佛教
CXD NLB	佛祖
CXD GlA	佛陀
NqD kFI	作爲
CSC ETC	佩戴
CSC CBD	佩服
dPA NgD	佳節
VHB lDC	使用
VHC dcK	使館
ITA QVC	來信
ITA aNC	來勢
ITA jSI	來回
ITA kpJ	來往
ITA gZI	來源
INC gOK	例外
INC NHB	例子
INC XwC	例證
ZHC CDB	侍奉
ZHC XoB	侍者
dDA CDB	供奉
hIA hSI	依偎
hIA PaI	依存
hIA RVI	依循
hIA IfK	依戀
hIA dJC	依據
hIA OGC	依次
hIA A9D	依法
hIA cfA	依然
hIA XiC	依照
hIA iIA	依稀
hIA fyC	依舊
hIA IOC	依賴
hIA CKC	依附
hIA ekC	依靠
DKB cDD	侮辱
O1A E5A	侵佔
O1A c1D	侵入
O1A ciB	侵擾
O1A ffM	侵權
O1A C9B	侵犯
O1A IpD	侵略
O1A bwD	侵蝕
ODD VHB	促使
ODD ZuA	促成
ODD NVC	促進
ODD QiA	促銷
RDD DuQ	俗名
BKA ILB	俘虜
AkB kyC	保佑
AkB PaI	保存
AkB hcA	保安
AkB DVH	保密
AkB LHA	保持
AkB HcJ	保暖
AkB AaB	保本
AkB aNK	保稅
AkB dcJ	保管
AkB lBD	保育
AkB XwC	保證
AkB jLC	保護
AkB auD	保釋
AkB i4F	保險
j5D gFG	俠義/協議
QVC j6A	信函
QVC CDB	信奉
QVC GLA	信徒
QVC Q1A	信心
QVC H5C	信念
QVC QwD	信息/訊息
QVC CBD	信服
QVC DXD	信物
QVC lDC	信用
QVC QpA	信箱
QVC FqD	信託
QVC FTC	信貸
QyA NfB	修剪
QyA UHB	修士
QyA dZC	修建
QyA dTB	修改
QyA g8D	修業
QyA IHB	修理
QyA ZfC	修繕
QyA R1D	修習
QyA ALB	修補
QyA aVA	修身
QyA RHA	修辭
QyA awD	修飾
AKB e3C	俯瞰
AKB aVA	俯身
dKA PfI	俱全
OqA eLC	倉庫
dlC cVA	個人
dlC CfH	個別
dlC QuC	個性
dlC hcC	個案
dlC FMB	個體
EkC VKB	倒數
EkC VKC	倒數
fXL fpA	倔強
IVI IHB	倫理
LwD ExD	值得
LHC ExD	值得
LwD PfA	值錢
dnB VHB	假使
dnC cVD	假日
BfA BfA	偏偏
BfA ipC	偏向
BfA X1D	偏執
BfA ikC	偏好
BfA hTC	偏愛
BfA dvD	偏激
GvA dAA	停工
GvA dIA	停機
GvA iZD	停歇
GvA XHB	停止
GvA LNC	停滯
GvA J6C	停站
GvA XwD	停職
GvA elK	停課
GvA YoA	停車
GvA ekC	停靠
GvA EaK	停頓
fZC PfI	健全
fZC SpC	健壯
fZC eqA	健康
fZC ZuD	健碩
fZC aVA	健身
SwD DBD	側目
SwD DfC	側面
FzA FzA	偷偷
FzA IcB	偷懶
FzA GLC	偷渡
FzA R1D	偷襲
FzA deA	偷閒
CqC DZB	傍晚
CGG AVE	備份
CGG XfC	備戰
CGG hcC	備案
CGG lDC	備用
OSI ODD	催促
OSI inK	催化
OSI IGK	催淚
OSI DgA	催眠
gkC DdC	傲慢
LfI ZwA	傳承
LfI djC	傳教
LfI FCC	傳統
LfI afL	傳說
euY ipC	傾向
euY DLC	傾慕
euY CaA	傾盆
euY QLC	傾訴
euY G3A	傾談
euY heD	傾軋
euY QiA	傾銷
dpA inK	僵化
dpA LHA	僵持
dpA gtC	僵硬
dnC LHC	價值
dnC DBD	價目
dnC DnB	價碼
dnC PfA	價錢
gFE eGG	儀器
gFE lDA	儀容
gFE awD	儀式
gFE AiF	儀表
cKA jED	儒學
cKA dnA	儒家
cKA gnB	儒雅
hyA IfL	優劣
hyA aNC	優勢
hyA inK	優化
hyA jMK	優惠
hyA lHC	優異
hyA QyC	優秀
hyA DGF	優美
hyA IpA	優良
hyA gnB	優雅
hyA E5B	優點
LJA CGG	儲備
LJA PaI	儲存
LJA KBD	儲蓄
LJA PqA	儲藏
g8B cfA	儼然
lVJ iJB	允許
lVJ HqD	允諾
gZI QiA	元宵
gZI EcC	元旦
gZI QLC	元素
gZI IkB	元老
YBA dAA	充公
YBA CXC	充分
YBA bVD	充實
YBA YuD	充斥
YBA DcB	充滿
YBA lKC	充裕
YBA GgC	充電
YBA dGE	充飢
LiB GzA	兆頭
dqI IpC	光亮
dqI OTB	光彩
dqI hsB	光影
dqI ksI	光榮
dqI XiC	光照
dqI QfC	光線
dqI I3C	光纜
dqI iII	光輝
dqI dLC	光顧
exD XNC	克制
exD CBD	克服
DfF ExD	免得
DfF luL	免疫
DfF aNK	免稅
DfF XwD	免職
cFA inK	兒化
cFA NHB	兒子
cFA dlA	兒歌
cFA elI	兒科
cFA GAA	兒童
FLC NHB	兔子
EzA ZyC	兜售
c1D gLB	入伍
c1D O1A	入侵
c1D ezB	入口
c1D dsB	入境
c1D loC	入夜
c1D jED	入學
c1D PlK	入座
c1D ayB	入手
c1D ZFK	入睡
c1D dLB	入股
c1D DaA	入門
PfI IwD	全力
PfI fDD	全局
PfI DXA	全文
PfI QVA	全新
PfI DVA	全民
PfI cfA	全然
PfI fyA	全球
PfI CcA	全盤
PfI LuA	全程
PfI XwD	全職
PfI DjC	全貌
PfI aVA	全身
PfI ELA	全都
PfI DfC	全面
PfI FMB	全體
AeD dPK	八卦
AeD PHC	八字
AeD ZuA	八成
dAA XKB	公主
dAA ALC	公佈
dAA gZI	公元
dAA dAA	公公
dAA fDC	公共
dAA DKC	公務
dAA awA	公升
dAA QHA	公司
dAA kZI	公園
dAA hcA	公安
dAA gKC	公寓
dAA dcC	公幹
dAA THC	公廁
dAA awD	公式
dAA hsC	公映
dAA jOK	公會
dAA kyB	公有
dAA XuC	公正
dAA DVA	公民
dAA A9D	公法
dAA lfB	公演
dAA luI	公營
dAA NpD	公爵
dAA IHB	公理
dAA huT	公益
dAA ZoB	公社
dAA QGA	公私
dAA I1D	公立
dAA XwD	公職
dAA XwC	公證
dAA ILC	公路
dAA eTA	公開
fDC GAA	共同
AsA IwD	兵力
AsA eGG	兵器
AsA GcI	兵團
fKC CGG	具備
fKC kyB	具有
fKC FMB	具體
EgB jvA	典型
EgB dLC	典故
EgB EqC	典當
EgB IMB	典禮
EgB C9B	典範
EgB PuD	典籍
EgB gnB	典雅
NTC jOK	再會
NTC jgC	再現
NTC VsA	再生
NTC XoB	再者
NTC dgC	再見
dcK dXI	冠軍
hZI dnA	冤家
DvA QpB	冥想
ECA FgA	冬天
ECA dGK	冬季
ECA dnI	冬瓜
ECA XGC	冬至
AwA eSK	冰塊
AwA VeA	冰山
AwA YfI	冰川
AwA QpA	冰箱
AwA GqA	冰糖
AwA QfL	冰雪
AwA CED	冰雹
loB d1E	冶金
XVJ iJB	准許
EhA RoC	凋謝
IwA IcK	凌亂
IwA dnC	凌駕
I1B IfD	凜冽
C9A ZFB	凡是
C9A deC	凡間
iDA LiB	凶兆
h6D j6C	凹陷
YVL VHC	出使
YVL AZD	出發
EkA fKC	刀具
EkA BDA	刀鋒
CXC NHB	分子
AXA NHB	分子
AXA jqA	分行
OgD dcD	切割
OMC bVD	切實
ecA DXD	刊物
ecA ExA	刊登
jvA fHA	刑期
jvA A9D	刑法
jvA CZD	刑罰
jvA dsB	刑警
IfD AiF	列表
TJA JBA	初中
TJA ECA	初冬
TJA loC	初夜
TJA IfK	初戀
TJA fHA	初期
TJA CLC	初步
TJA OyA	初秋
TJA d1H	初級
TJA QTC	初賽
BcC jvA	判刑
BcC GvC	判定
BcC EcK	判斷
CfH cVA	別人
CfH DuQ	別名
CfH ZJB	別墅
CfH PHC	別字
CfH JGC	別致
IGC eGG	利器
IGC jOC	利害
IGC QwD	利息
IGC cVK	利潤
IGC lDC	利用
IGC huT	利益
IGC IqD	利落
VdA d6B	刪減
EkC kGK	到位
EkC ITA	到來
EkC LpA	到場
EkC EMB	到底
EkC BpC	到訪
XNC CBD	制服
XNC XHB	制止
XNC jrA	制衡
OFC VeD	刺殺
exD hHC	刻意
exD AdB	刻板
FMC EkA	剃刀
QpD cpD	削弱
exD QvA	剋星
PgA cVA	前人
PgA RuD	前夕
PgA FgA	前天
PgA NzC	前奏
PgA kpJ	前往
PgA cVD	前日
PgA dsB	前景
PgA fHA	前期
PgA X4A	前瞻
PgA EcI	前端
PgA QfC	前線
PgA XoB	前者
PgA gZA	前言
PgA GLA	前途
PgA NVC	前進
PgA AgA	前邊
PgA BDA	前鋒
PgA DfC	前面
PgA GzA	前頭
dqA duS	剛勁
NfB AkC	剪報
NfB hsB	剪影
NfB N4D	剪接
NfB P1D	剪輯
dcD IfD	割裂
dcD cpC	割讓
jtL hVD	劃一
fsD GcI	劇團
fsD LpA	劇場
fsD GcA	劇壇
fsD PuA	劇情
fsD AaB	劇本
fsD IfD	劇烈
fsD XiC	劇照
IwD GLA	力圖
IwD jED	力學
IwD NlK	力挫
IwD eIC	力氣
IwD fyA	力求
IwD StA	力爭
dAA IGC	功利
dAA IwD	功力
dAA jjC	功效
dAA lDC	功用
dAA elK	功課
dnA lHB	加以
dnA CSB	加倍
dnA c1D	加入
dnA fsD	加劇
dnA dAA	加工
dnA fpA	加強
dnA eRK	加快
dnA lyA	加油
dnA a1A	加深
dnA cfD	加熱
dnA DnB	加碼
dnA dVB	加緊
dnA QVA	加薪
dnA QAD	加速
UJC ayB	助手
UJC IHB	助理
HLB IwD	努力
duS GvD	勁敵
duS IJB	勁旅
lDB d3B	勇敢
lDB eIC	勇氣
DfF fpA	勉強
GAB cVA	動人
GAB IwD	動力
GAB kXI	動員
GAB lDA	動容
GAB dAA	動工
GAB d2B	動感
GAB FTC	動態
GAB ayB	動手
GAB liA	動搖
GAB dIA	動機
GAB DXD	動物
GAB lDC	動用
GAB RHA	動詞
GAB gFG	動議
GAB J4D	動輒
GAB PuB	動靜
e2C TeD	勘察
e2C F2A	勘探
e2C TwD	勘測
DKC bVD	務實
awA c1C	勝任
awC IGC	勝利
awC GGC	勝地
DLC lfI	募捐
DLC P1D	募集
aNC IwD	勢力
aNC AVD	勢必
aNC GzA	勢頭
fYA DfF	勤勉
fYA eRK	勤快
INC XHC	勵志
eZK DfF	勸勉
AjA j2A	包含
AjA lDA	包容
AjA dcL	包括
AjA dIA	包機
AjA SeD	包紮
AjA SpA	包裝
AjA QiA	包銷
inK jED	化學
inK dAA	化工
inK ZuD	化石
inK aVA	化身
inK g4G	化驗
AxD fwD	北極
AxD AgA	北邊
fGO C9D	匱乏
BVD BSC	匹配
AgB grD	匾額
MwD DuQ	匿名
eKA AfH	區別
OgA dLB	千古
OgA DZC	千萬
OgA d1E	千金
awA fHA	升旗
awA haI	升溫
awA d1H	升級
awA XwD	升職
gLB ZFK	午睡
gLB OcA	午餐
AcC dnC	半價
AcC loC	半夜
AcC FgA	半天
AcC QGB	半死
AcC GLA	半途
AcC AgA	半邊
AFA IfL	卑劣
AFA DIA	卑微
AFA PfC	卑賤
j5D IwD	協力
j5D UJC	協助
j5D GAA	協同
j5D apA	協商
j5D GvC	協定
j5D jOK	協會
j5D CeC	協辦
H2A AxD	南北
H2A fwD	南極
H2A dnI	南瓜
AqD UHB	博士
AqD luD	博弈
AqD hTC	博愛
X4A AAD	占卜
hVC AZD	印發
hVC XpA	印章
hVC inI	印花
hVC XNC	印製
hVC XwC	印證
hVC RpB	印象
gFM f1H	危及
gFM jOC	危害
gFM d1H	危急
gFM dIA	危機
gFM GTB	危殆
gFM i4F	危險
NwD VHB	即使
NwD exD	即刻
NwD RuD	即席
NwD cVD	即日
NwD ZHA	即時
epD CLC	卻步
gZI ITA	原來
gZI NxD	原則
gZI hVA	原因
gZI aHB	原始
gZI NHB	原子
gZI AaB	原本
gZI IHB	原理
gZI PuD	原籍
gZI IpC	原諒
gZI DjC	原貌
h4C hLC	厭惡
INC jOC	厲害
T1A TFA	參差
O2A lJC	參與
O2A dcI	參觀
f1H NkB	及早
f1H ZHA	及時
f1H GMC	及第
f1H XGC	及至
kyB cVA	友人
kyB ZfB	友善
kyB hTC	友愛
kyB gFG	友誼
AZB hwC	反應
AZB BBD	反覆
aBD aBD	叔叔
ZyB XNC	受制
ZyB eaK	受困
ZyB lwC	受孕
ZyB jOC	受害
ZyB a1B	受審
ZyB jMK	受惠
ZyB NlK	受挫
ZyB QaJ	受損
ZyB cfD	受熱
ZyB lDC	受用
ZyB huT	受益
ZyB BuS	受聘
ZyB gpD	受虐
ZyB iXK	受訓
ZyB FqD	受託
ZyB BpC	受訪
ZyB iSJ	受賄
CcC IcK	叛亂
CcC gsD	叛逆
PAA I1A	叢林
ezB DXB	口吻
ezB DIC	口味
ezB gcC	口岸
ezB d2B	口感
ezB aGJ	口水
ezB f1E	口琴
ezB AFE	口碑
ezB ABD	口福/口腹
ezB jAA	口紅
ezB JjC	口罩
ezB eEA	口腔
ezB GTC	口袋
ezB dED	口角
ezB dgL	口訣
ezB bVL	口述
ezB h1E	口音
ezB GzA	口頭/叩頭
dLB cVA	古人
dLB GTC	古代
dLB EgB	古典
dLB F3D	古塔
dLB DLC	古墓
dLB AdB	古板
dLB DXD	古物
dLB gcK	古玩
dLB f1E	古琴
dLB StA	古箏
dLB PuD	古籍
dLB IkB	古老
dLB fyC	古舊
dLB EAB	古董
dLB SpA	古裝
dLB aHA	古詩
dLB NuD	古蹟
LiC icK	召喚
LiC eTA	召開
LiC P1D	召集
elB cVA	可人
elB lHB	可以
elB QVC	可信
elB ezB	可口
elB AGE	可悲
elB QuD	可惜
elB hTC	可愛
elB IgA	可憐
elB ZFB	可是
elB gHA	可疑
elB kIK	可謂
elB ekC	可靠
VHB PgA	史前
VHB jED	史學
VHB bVD	史實
VHB PuD	史籍
QHA gFE	司儀
QHA dIA	司機
QHA A9D	司法
dqD dlC	各個
dqD PGC	各自
dVD IGC	吉利
dVD RpA	吉祥
GAA hVD	同一
GAA inK	同化
GAA jED	同學
GAA HgA	同年/童年
GAA XHC	同志
GAA QuC	同性
GAA PuA	同情
GAA hHC	同意
GAA ZHA	同時
GAA fHA	同期
GAA g8D	同業
GAA CLC	同步
GAA ExB	同等
GAA ipA	同鄉
GAA IGK	同類
DuQ cVA	名人
DuQ TtD	名冊
DuQ IGC	名利
DuQ awC	名勝
DuQ ZuA	名城
DuQ GqA	名堂
DuQ PHC	名字
DuQ dnA	名家
DuQ VeA	名山
DuQ VGA	名師
DuQ IyA	名流
DuQ BgC	名片
DuQ gFG	名義
DuQ RHA	名詞
DuQ grD	名額
dXI XKB	君主
dXI NHB	君子
IVC VwD	吝嗇
j2A hHC	含意
j2A gFG	含義
i1H lVB	吸引
i1H dcJ	吸管
i1H H2D	吸納
i1H CKC	吸附
MGA M6A	呢喃
XyA PfI	周全
XyA jOK	周會
XyA lyA	周遊
DIC NuA	味精
DIC GkB	味道
iLA i1H	呼吸
iLA icK	呼喚
iLA dyC	呼救
iLA lKC	呼籲
DsC IuC	命令
DsC DuQ	命名
DsC hcC	命案
DsC kXK	命運
CjA ijA	咆哮
NGA QVI	咨詢
XFB YuD	咫尺
hgA jzA	咽喉
hTA UyA	哀愁
B1F DIC	品味
B1F ZpA	品嘗
B1F ExD	品德
B1F QuC	品性
B1F IGK	品類
kXI dAA	員工
dlA dlA	哥哥
eAD e1H	哭泣
eAD QLC	哭訴
ijA YfJ	哮喘
JfD jED	哲學
JfD IHB	哲理
CLC cKB	哺乳
drB hgD	哽咽
GqA IzA	唐樓
GqA GaL	唐突
ZyC dnC	售價
ZyC evC	售罄
ZyC DPC	售賣
YpC dAA	唱功
YpC eDD	唱曲
YpC dIA	唱機
YpC dlA	唱歌
YpC BgC	唱片
YpC eEA	唱腔
FlK DcD	唾沫
apA cVA	商人
apA DKC	商務
apA B1F	商品
apA LpA	商場
apA dnA	商家
apA E5C	商店
apA IJB	商旅
apA jOK	商會
apA g8D	商業
apA dIA	商機
apA dQC	商界
apA bfI	商船
apA G3A	商談
apA AZC	商販
apA DzC	商貿
DXC EvB	問鼎
ZfB Q1A	善心
ZfB AaB	善本
ZfB ecJ	善款
ZfB IpA	善良
jzA IAA	喉嚨
jzA GzA	喉頭
YfJ QwD	喘息
icK eHB	喚起
iHB fsD	喜劇
iHB ikC	喜好
iHB hgC	喜宴
iHB lfL	喜悅
iHB hTC	喜愛
iHB esC	喜慶
iHB icI	喜歡
EcA GhC	單調
PkA P2D	嘈雜
dnA iJB	嘉許
ZpA aHC	嘗試
KjA FkA	嘮叨
JjA ABC	嘲諷
hLC Q1A	噁心
eGG dcI	器官
eGG PTA	器材
eGG DsB	器皿
g8A INC	嚴厲
g8A DVH	嚴密
g8A jcA	嚴寒
g8A QVK	嚴峻
g8A LwA	嚴懲
g8A QBD	嚴肅
g8A jlA	嚴苛
g8A dYB	嚴謹
HqA dcL	囊括
RyA C9B	囚犯
QGC XyA	四周
QGC dGK	四季
QGC ZHA	四時
QGC XFA	四肢
QGC DfC	四面
jSI ITA	回來
jSI awA	回升
jSI DIC	回味
jSI AkC	回報
jSI hwD	回憶
jSI HcJ	回暖
jSI dII	回歸
jSI IyA	回流
jSI LuA	回程
jSI E2D	回答
jSI IqD	回落
jSI ipB	回響
jSI GzA	回頭
jSI dLC	回顧
jSI fGO	回饋
hVA RVI	因循
hVA dlJ	因果
hVA OFB	因此
hVA kFK	因爲
hVA lyA	因由
hVA QLC	因素
hVA lfI	因緣/姻緣
hVA cHA	因而
eaK dsB	困境
eaK jxL	困惑
eaK ciB	困擾
eaK fVN	困窘
eaK EaK	困頓
dLC X1D	固執
dLC GvC	固定
dLC FTC	固態
dLC kyB	固有
dLC cfA	固然
dLC FMB	固體
dxL DKC	國務
dxL dsB	國境
dxL jED	國學
dxL dnA	國家
dxL AkB	國寶
dxL eLC	國庫
dxL PuA	國情
dxL esC	國慶
dxL jOK	國會
dxL kyB	國有
dxL dlA	國歌
dxL DVA	國民
dxL luI	國營
dxL dQC	國界
dxL I1D	國立
dxL PuD	國籍
dxL QGK	國粹
dxL GkB	國道
dxL NNC	國際
kZI GGC	園地
kZI gNC	園藝
